Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
3P Land Hold.,516092,3PLAND,Finance & Investments,59.88,107.78,23.67,51.57,73.30,0.00,0.00,0.00,0.00,2.94,2.20,2.09,1.54,-6.19,-0.27,114.62,1.16,0.53,0.21,1.01,0.86,0.44,146.23,86.60,44.75,11.55,0.60,4.41,146.23,86.60,44.75,11.55,0.00,2.37,18.01,54.24,-0.07,1.16,0.89,0.00,0.12,0.01,0.05,-0.82,-1.60,0.00,36.17,14.11,40.46,-32.57,2.26,29.81,61.54,2.19,0.96,0.38
A-1,542012,,Trading,399.35,459.25,36.80,165.79,70.03,0.00,0.00,21.65,0.45,4.67,2.75,2.77,3.61,-0.30,3.73,8.09,2.41,0.84,0.73,0.96,3.14,-0.03,-20.83,-20.63,-35.64,,-8.04,246.31,-20.83,-20.63,-11.11,,16.61,14.71,18.85,,50.99,40.69,31.07,16.66,10.29,15.69,19.06,16.68,6.33,87.89,12.40,7.89,10.01,,8.05,97.86,-4.09,8.20,0.97,0.84
Aarnav Fashions,539562,,Textiles - Products,63.95,270.12,29.32,36.06,66.53,0.00,-1.19,105.48,0.58,6.70,3.19,7.49,0.38,10.53,15.83,110.57,1.77,0.51,0.42,1.33,0.09,0.43,-25.65,17.22,21.83,12.50,0.36,373.69,4.98,98.88,77.72,,143.08,0.00,0.02,0.00,175.43,176.84,3.44,2.88,28.23,40.57,83.73,-138.77,-138.82,66.93,13.03,196.05,148.16,,3.62,472.64,4.93,2.97,2.15,1.78
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,29490.20,62666.68,43.20,48.78,74.99,0.00,0.00,60.50,0.02,46.02,34.88,1284.66,949.41,0.77,1.55,23.47,604.57,168.76,154.36,565.30,446.80,147.27,20.24,22.01,23.33,20.21,2.22,6066.05,20.24,22.01,23.33,20.21,152.58,0.00,0.00,0.00,1751.47,2491.45,1904.09,1261.38,1164.68,859.76,2928.26,4242.37,4925.99,55.06,10.71,9.72,10.53,9.90,30.47,18.79,7.58,32.20,358.61,328.01
Accedere,531533,,Computers - Software - Medium / Small,96.52,48.55,44.25,539.44,81.46,0.00,0.00,0.16,0.04,-1.57,-1.71,0.07,-0.08,-1.01,7.52,23.90,0.16,0.20,-0.02,-0.14,-0.06,-0.10,,,,,,3.80,,,,,0.05,0.05,,,3.95,3.21,3.19,,0.08,0.24,0.52,1.26,,0.00,64.99,10.84,,,-0.63,-71.17,80.09,-0.97,0.10,-0.03
Action Const.Eq.,532762,ACE,Engineering,1518.10,18078.02,43.32,49.44,65.41,0.00,0.00,114.12,0.08,42.30,30.58,365.69,172.98,4.97,6.52,66.57,30.71,7.96,7.07,27.56,14.41,6.21,60.44,42.16,57.42,56.79,1.16,3079.90,63.04,42.59,57.76,59.72,54.58,53.24,113.65,149.61,417.16,106.24,32.79,16.22,268.14,237.89,565.25,645.00,753.38,69.42,33.41,16.76,21.37,16.81,20.67,55.53,23.44,23.16,94.82,84.18
AD Manum Finance,511359,,Finance & Investments,100.77,75.58,23.67,7.63,74.30,0.00,0.00,24.13,0.32,15.67,11.58,9.91,5.02,9.76,8.39,138.85,13.21,3.48,2.36,10.27,6.69,1.81,36.16,48.28,37.23,3.04,0.16,13.42,36.16,48.28,37.23,3.04,11.54,24.31,32.34,63.37,2.30,12.02,68.02,72.83,1.41,-0.19,-1.12,20.34,19.13,0.00,5.82,2.26,-2.81,-7.91,8.05,89.12,53.90,8.23,2.61,1.77
Adani Total Gas,542066,ATGL,Miscellaneous,727.65,80027.68,19.22,113.99,74.80,0.00,0.00,1457.45,0.37,21.20,20.46,702.04,546.49,7.12,-2.19,-33.28,6.38,1.69,1.56,6.07,4.97,1.57,12.13,22.74,,,5.01,4687.23,12.13,22.74,,,529.12,393.97,,,-191.41,-401.21,181.72,,155.89,-322.52,-384.89,-286.87,-34.67,63.64,38.19,21.09,,,23.66,22.95,7.21,21.23,185.60,171.84
Adani Wilmar,543458,AWL,Solvent Extraction,328.60,42707.44,39.34,40.56,87.87,0.00,0.00,2000.79,0.22,10.41,3.65,1052.93,607.24,-0.18,5.74,-13.00,8.10,2.51,2.49,2.14,4.67,-0.67,-65.86,-40.96,-26.51,19.27,-10.17,52888.46,-23.22,-3.99,4.00,52.77,3050.84,1829.46,2621.69,1947.80,4802.67,2281.98,489.32,1990.24,-544.60,-153.96,-26.54,416.13,1931.25,88.28,9.91,11.32,11.51,12.79,10.63,253.10,1.84,8.15,325.73,323.55
Aditya AMC,543374,ABSLAMC,Finance & Investments,822.20,23717.52,23.67,26.48,74.95,0.00,-0.05,75.05,0.02,34.89,27.45,895.77,596.38,0.68,-3.51,72.89,31.09,8.41,8.18,27.09,20.71,6.18,-54.75,-35.79,-19.53,,2.24,1517.86,14.03,11.80,19.58,,59.31,71.87,0.00,,16.87,-26.80,64.39,-22.79,654.76,418.71,1620.66,2603.06,3227.96,0.00,10.82,3.05,7.08,,30.92,34.80,20.74,28.66,242.34,235.71
